timestamp,datetime,open,high,low,close,volume
1731355200000,2024-11-11T20:00:00,78.34,80.37,77.32,80.03,353873.77
1731369600000,2024-11-12T00:00:00,80.04,80.17,77.1,79.16,239413.29
1731384000000,2024-11-12T04:00:00,79.15,79.85,68.0,79.64,397688.625
1731398400000,2024-11-12T08:00:00,79.63,82.78,74.33,76.92,564036.474
1731412800000,2024-11-12T12:00:00,76.92,77.36,74.05,75.7,311503.441
1731427200000,2024-11-12T16:00:00,75.71,77.4,74.13,76.75,185424.863
1731441600000,2024-11-12T20:00:00,76.75,78.37,76.34,76.69,119952.869
1731456000000,2024-11-13T00:00:00,76.69,77.7,73.66,73.75,181079.393
1731470400000,2024-11-13T04:00:00,73.75,74.9,71.86,73.47,172708.96
1731484800000,2024-11-13T08:00:00,73.46,73.96,72.53,73.46,120349.904
1731499200000,2024-11-13T12:00:00,73.47,76.87,72.73,76.55,302491.808
1731513600000,2024-11-13T16:00:00,76.54,77.93,73.97,74.28,329593.131
1731528000000,2024-11-13T20:00:00,74.28,75.62,73.16,75.39,197970.521
1731542400000,2024-11-14T00:00:00,75.4,85.0,74.17,83.32,521146.949
1731556800000,2024-11-14T04:00:00,83.33,84.79,78.18,82.28,632507.756
1731571200000,2024-11-14T08:00:00,82.27,83.13,79.17,80.46,269332.692
1731585600000,2024-11-14T12:00:00,80.47,81.7,77.63,78.62,301780.805
1731600000000,2024-11-14T16:00:00,78.61,84.63,78.04,82.64,390009.866
1731614400000,2024-11-14T20:00:00,82.64,84.65,81.09,82.38,356801.069
1731628800000,2024-11-15T00:00:00,82.37,82.62,79.37,81.71,210607.291
1731643200000,2024-11-15T04:00:00,81.7,82.8,78.84,81.46,179485.834
1731657600000,2024-11-15T08:00:00,81.46,85.98,80.57,84.73,281690.168
1731672000000,2024-11-15T12:00:00,84.72,87.37,82.31,82.56,582018.993
1731686400000,2024-11-15T16:00:00,82.54,84.38,81.6,82.86,184893.41
1731700800000,2024-11-15T20:00:00,82.85,84.84,82.79,83.7,165538.346
1731715200000,2024-11-16T00:00:00,83.71,84.83,82.84,84.0,160277.231
1731729600000,2024-11-16T04:00:00,84.0,88.14,83.34,86.94,341692.068
1731744000000,2024-11-16T08:00:00,86.94,90.8,85.97,88.64,444271.539
1731758400000,2024-11-16T12:00:00,88.65,94.7,86.59,88.86,741060.667
1731772800000,2024-11-16T16:00:00,88.87,98.49,87.9,96.59,772056.488
1731787200000,2024-11-16T20:00:00,96.6,97.47,93.53,95.42,362586.892
1731801600000,2024-11-17T00:00:00,95.44,97.43,88.9,90.87,557832.34
1731816000000,2024-11-17T04:00:00,90.85,92.1,89.0,90.87,251312.265
1731830400000,2024-11-17T08:00:00,90.87,92.18,86.95,87.01,321421.192
1731844800000,2024-11-17T12:00:00,87.02,92.0,86.78,88.4,271896.91
1731859200000,2024-11-17T16:00:00,88.42,89.68,85.26,86.4,176710.127
1731873600000,2024-11-17T20:00:00,86.4,87.42,84.68,87.2,168684.336
1731888000000,2024-11-18T00:00:00,87.2,95.0,86.88,94.62,344222.429
1731902400000,2024-11-18T04:00:00,94.63,94.63,92.36,93.6,306211.81
1731916800000,2024-11-18T08:00:00,93.6,93.65,89.72,90.32,249631.38
1731931200000,2024-11-18T12:00:00,90.32,91.82,88.43,90.36,267099.393
1731945600000,2024-11-18T16:00:00,90.36,90.77,86.38,87.44,286612.218
1731960000000,2024-11-18T20:00:00,87.43,89.51,87.02,89.22,217399.619
